ZST|Stewart Airport|55.9354|-129.9824
ZUC|Ignace Municipal Airport|49.4282|-91.7204
DAAB|Blida Airport|36.5036|2.8142
BUJ|Bou Saada Airport|35.3325|4.2064
BJA|Soummam–Abane Ramdane Airport|36.7125|5.0699
ALG|Houari Boumediene Airport|36.6939|3.2145
DJG|Tiska Djanet Airport|24.2854|9.4637
DAAK|Boufarik Air Base|36.5458|2.8761
VVZ|Illizi Takhamalt Airport|26.7235|8.6226
QSF|Ain Arnat Airport|36.1785|5.3299
TMR|Aguenar – Hadj Bey Akhamok Airport|22.811|5.4508
GJL|Jijel Ferhat Abbas Airport|36.7941|5.8737
MZW|Mecheria Airport|33.5359|-0.2424
DAAZ|Relizane Airport|35.753|0.6259
AAE|Annaba Rabah Bitat Airport|36.8268|7.8133
CZL|Mohamed Boudiaf International Airport|36.276|6.6204
TEE|Cheikh Larbi Tébessi Airport|35.4316|8.1207
BLJ|Batna Mostefa Ben Boulaid Airport|35.7521|6.3086
HRM|Hassi R'Mel Airport|32.9304|3.3115
TID|Abdelhafid Boussouf Bou Chekif Airport|35.3411|1.4632
TIN|Tindouf Airport|27.7004|-8.1671
CFK|Chlef Aboubakr Belkaid International Airport|36.2166|1.3411
TAF|Oran Tafraoui Airport|35.5424|-0.5323
TLM|Zenata – Messali El Hadj Airport|35.0127|-1.4571
ORN|Oran Es-Sénia (Ahmed Ben Bella) International Airport|35.6206|-0.6225
CBH|Béchar Boudghene Ben Ali Lotfi Airport|31.6457|-2.2699
MUW|Ghriss Airport|35.2077|0.1471
BMW|Bordj Badji Mokhtar Airport|21.3778|0.927
AZR|Touat-Cheikh Sidi Mohamed Belkebir Airport|27.8376|-0.1864
BSK|Biskra - Mohamed Khider Airport|34.7932|5.7389
ELG|El Golea Airport|30.5807|2.8616
GHA|Noumérat - Moufdi Zakaria Airport|32.3841|3.7941
HME|Hassi Messaoud-Oued Irara Krim Belkacem Airport|31.673|6.1404
INZ|In Salah Airport|27.251|2.512
TGR|Touggourt Sidi Madhi Airport|33.0678|6.0887
LOO|Laghouat - Molay Ahmed Medeghri Airport|33.7644|2.9283
ELU|Guemar Airport - مطار قمار بالوادي|33.5114|6.7768
TMX|Timimoun Airport|29.2371|0.276
OGX|Ain Beida Airport|31.9172|5.4128
IAM|Zarzaitine - In Aménas Airport|28.0515|9.6429
COO|Cotonou Cadjehoun International Airport|6.3572|2.3844
OUA|Ouagadougou Thomas Sankara International Airport|12.3532|-1.5124
BOY|Bobo Dioulasso Airport|11.1601|-4.331
ACC|Kotoka International Airport|5.6052|-0.1668
DGAH|Ho Airport|6.5797|0.5325
TML|Yakubu Tali International Airport|9.5539|-0.8661
